Year,State ab,State,Population,Index offenses total,Violent crime total,Murder and nonnegligent Manslaughter,Rape (legacy),Rape (revised),Rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Index offense rate,Violent Crime rate,Murder and nonnegligent manslaughter rate,Rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
1962,HI,Hawaii,693000,17647,256,20,17.0,0.0,17,120,99,17391,4485,10693,2213,2546.4,36.9,2.9,2.5,17.3,14.3,2509.5,647.2,1543.0,319.3
1962,ID,Idaho,698000,13461,234,21,25.0,0.0,25,63,125,13227,2458,9939,830,1928.5,33.5,3.0,3.6,9.0,17.9,1895.0,352.1,1423.9,118.9
1962,IL,Illinois,10146000,258319,38926,537,1884.0,0.0,1884,20442,16063,219393,56377,125306,37710,2546.1,383.7,5.3,18.6,201.5,158.3,2162.4,555.7,1235.0,371.7
1962,IN,Indiana,4715000,85001,4191,167,289.0,0.0,289,1814,1921,80810,22183,49473,9154,1802.8,88.9,3.5,6.1,38.5,40.7,1713.9,470.5,1049.3,194.1
1962,IA,Iowa,2777000,31590,559,31,105.0,0.0,105,238,185,31031,7326,21668,2037,1137.5,20.1,1.1,3.8,8.6,6.7,1117.4,263.8,780.3,73.4
1962,KS,Kansas,2219000,34791,1477,63,147.0,0.0,147,480,787,33314,7531,23514,2269,1567.9,66.6,2.8,6.6,21.6,35.5,1501.3,339.4,1059.7,102.3
1962,KY,Kentucky,3082000,41033,2963,201,177.0,0.0,177,1122,1463,38070,12809,21692,3569,1331.3,96.1,6.5,5.7,36.4,47.5,1235.2,415.6,703.8,115.8
1962,LA,Louisiana,3330000,44357,4570,225,226.0,0.0,226,1298,2821,39787,10891,22759,6137,1332.0,137.2,6.8,6.8,39.0,84.7,1194.8,327.1,683.5,184.3
1962,ME,Maine,999000,11899,277,14,28.0,0.0,28,78,157,11622,3073,7653,896,1191.1,27.7,1.4,2.8,7.8,15.7,1163.4,307.6,766.1,89.7
1962,MD,Maryland,3191000,60325,4915,183,279.0,0.0,279,1340,3113,55410,12886,36298,6226,1890.4,154.0,5.7,8.7,42.0,97.6,1736.4,403.8,1137.5,195.1
1962,MA,Massachusetts,5161000,84107,3207,95,256.0,0.0,256,1331,1525,80900,21181,44051,15668,1629.6,62.1,1.8,5.0,25.8,29.5,1567.5,410.4,853.5,303.6
1962,MI,Michigan,7991000,222179,18106,275,1133.0,0.0,1133,7710,8988,204073,57641,130499,15933,2780.4,226.6,3.4,14.2,96.5,112.5,2553.8,721.3,1633.1,199.4
1962,MN,Minnesota,3475000,53762,1674,33,124.0,0.0,124,1028,489,52088,13312,33781,4995,1547.1,48.2,0.9,3.6,29.6,14.1,1498.9,383.1,972.1,143.7
1962,MS,Mississippi,2248000,16909,2079,164,96.0,0.0,96,179,1640,14830,5115,8481,1234,752.2,92.5,7.3,4.3,8.0,73.0,659.7,227.5,377.3,54.9
1962,MO,Missouri,4346000,100356,8059,241,548.0,0.0,548,3474,3796,92297,26238,57277,8782,2309.1,185.4,5.5,12.6,79.9,87.3,2123.7,603.7,1317.9,202.1
1962,MT,Montana,709000,14065,390,15,52.0,0.0,52,141,182,13675,2941,9143,1591,1983.8,55.0,2.1,7.3,19.9,25.7,1928.8,414.8,1289.6,224.4
1962,NE,Nebraska,1484000,19173,637,23,93.0,0.0,93,275,246,18536,3894,12846,1796,1292.0,42.9,1.5,6.3,18.5,16.6,1249.1,262.4,865.6,121.0
1962,NV,Nevada,335000,12423,711,27,66.0,0.0,66,357,261,11712,2971,7054,1687,3708.3,212.2,8.1,19.7,106.6,77.9,3496.1,886.9,2105.7,503.6
1962,NH,New Hampshire,632000,6318,178,15,22.0,0.0,22,22,119,6140,1781,3821,538,999.7,28.2,2.4,3.5,3.5,18.8,971.5,281.8,604.6,85.1
1962,NJ,New Jersey,6245000,108899,7874,187,510.0,0.0,510,2816,4361,101025,31868,54516,14641,1743.8,126.1,3.0,8.2,45.1,69.8,1617.7,510.3,873.0,234.4
1962,NM,New Mexico,1020000,22992,1338,64,127.0,0.0,127,419,728,21654,5256,14109,2289,2254.1,131.2,6.3,12.5,41.1,71.4,2122.9,515.3,1383.2,224.4
1962,NY,New York,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962,NC,North Carolina,4731000,58237,9533,373,362.0,0.0,362,836,7962,48704,14704,29642,4358,1231.0,201.5,7.9,7.7,17.7,168.3,1029.5,310.8,626.5,92.1
1962,ND,North Dakota,642000,6127,128,8,27.0,0.0,27,40,53,5999,1217,4246,536,954.3,19.9,1.2,4.2,6.2,8.3,934.4,189.6,661.4,83.5
1962,OH,Ohio,10097000,158099,8366,321,520.0,0.0,520,3830,3695,149733,40014,95938,13781,1565.8,82.9,3.2,5.2,37.9,36.6,1482.9,396.3,950.2,136.5
1962,OK,Oklahoma,2448000,48437,2478,126,182.0,0.0,182,973,1197,45959,12563,28501,4895,1978.6,101.2,5.1,7.4,39.7,48.9,1877.4,513.2,1164.3,200.0
1962,OR,Oregon,1864000,38364,1461,54,174.0,0.0,174,714,519,36903,8268,25871,2764,2058.2,78.4,2.9,9.3,38.3,27.8,1979.8,443.6,1387.9,148.3
1962,PA,Pennsylvania,11376000,129023,11856,311,946.0,0.0,946,4534,6065,117167,37298,64359,15510,1134.1,104.2,2.7,8.3,39.9,53.3,1029.9,327.9,565.7,136.3
1962,RI,Rhode Island,865000,16504,402,7,18.0,0.0,18,108,269,16102,4002,9788,2312,1908.0,46.5,0.8,2.1,12.5,31.1,1861.5,462.7,1131.6,267.3
1962,SC,South Carolina,2436000,40847,3012,247,172.0,0.0,172,468,2125,37835,12299,22696,2840,1676.8,123.6,10.1,7.1,19.2,87.2,1553.2,504.9,931.7,116.6
1962,SD,South Dakota,721000,7959,279,24,42.0,0.0,42,62,151,7680,1843,5160,677,1103.9,38.7,3.3,5.8,8.6,20.9,1065.2,255.6,715.7,93.9
1962,TN,Tennessee,3634000,50334,3767,220,241.0,0.0,241,1266,2040,46567,16772,24049,5746,1385.1,103.7,6.1,6.6,34.8,56.1,1281.4,461.5,661.8,158.1
1962,TX,Texas,10116000,217270,15516,730,937.0,0.0,937,3192,10657,201754,58017,126751,16986,2147.8,153.4,7.2,9.3,31.6,105.3,1994.4,573.5,1253.0,167.9
1962,UT,Utah,967000,22559,554,22,76.0,0.0,76,217,239,22005,4170,15804,2031,2332.9,57.3,2.3,7.9,22.4,24.7,2275.6,431.2,1634.3,210.0
1962,VT,Vermont,390000,4001,57,1,24.0,0.0,24,18,14,3944,1461,2133,350,1025.9,14.6,0.3,6.2,4.6,3.6,1011.3,374.6,546.9,89.7
1962,VA,Virginia,4177000,73669,7720,362,342.0,0.0,342,1070,5946,65949,18034,42551,5364,1763.7,184.8,8.7,8.2,25.6,142.4,1578.9,431.7,1018.7,128.4
1962,WA,Washington,3006000,70151,1913,74,189.0,0.0,189,912,738,68238,14695,48212,5331,2333.7,63.6,2.5,6.3,30.3,24.6,2270.1,488.9,1603.9,177.3
1962,WV,West Virginia,1773000,13243,1146,66,75.0,0.0,75,273,732,12097,3837,6996,1264,746.9,64.6,3.7,4.2,15.4,41.3,682.3,216.4,394.6,71.3
